uq_identity,error_metric,n_frames,frame_fraction,n_high_error,n_high_error_selected,high_error_rate,high_error_recall,high_error_enrichment,force_error_max_median,force_error_max_p95,force_error_max_max,force_error_rms_median,force_error_rms_p95,force_error_rms_max
accurate,force_error_max,22953,0.8299464853919584,1383,119,0.00518450747179018,0.08604483007953724,0.10367515447565381,0.3347798102613728,0.6411984828102795,1.7877340110196025,,,
candidate,force_error_max,4471,0.16166473821232283,1383,1096,0.24513531648400805,0.7924801156905278,4.901997333826266,0.667264535386996,1.5673818906781403,3.179046689228988,,,
failed,force_error_max,232,0.008388776395718832,1383,168,0.7241379310344828,0.12147505422993492,14.48066422320293,1.349297939314439,3.374939170221778,9.03850845965778,,,
accurate,force_error_rms,22953,0.8299464853919584,1383,88,0.0038339214917439985,0.0636297903109183,0.07666734112485322,,,,0.1592785037871824,0.26956599770920553,0.6009862688375063
candidate,force_error_rms,4471,0.16166473821232283,1383,1127,0.25206888839185865,0.8148951554591468,5.040648718268432,,,,0.2664492139086346,0.5791971518747485,1.1024975388155516
failed,force_error_rms,232,0.008388776395718832,1383,168,0.7241379310344828,0.12147505422993492,14.48066422320293,,,,0.47642203053754806,0.8838296945296097,2.789852855895084
