run,pc,eigenvalue,explained_ratio,cumulative_ratio,important
Neo,1,13.223171006688288,0.4132117067743224,0.4132117067743224,True
Neo,2,6.436755716817193,0.2011425863350107,0.6143542931093331,True
Neo,3,3.6614302751351784,0.11441626614815274,0.7287705592574858,True
Neo,4,2.104821113190664,0.06577368803566332,0.7945442472931491,True
Neo,5,1.515972629402386,0.047372724537985245,0.8419169718311343,True
Neo,6,1.1340545863904878,0.03543814346654379,0.8773551152976782,True
Neo,7,0.930604844039273,0.029080529605449493,0.9064356449031277,False
Neo,8,0.5523502321773448,0.017260427325620397,0.9236960722287482,False
Neo,9,0.3778486339169662,0.011807415849360516,0.9355034880781087,False
Neo,10,0.3511181006089343,0.010972111724078238,0.9464755998021869,False
Neo,11,0.25739458070557536,0.00804333952529357,0.9545189393274804,False
Neo,12,0.2175762835622425,0.006799055040496273,0.9613179943679767,False
Air,1,34.456483695547874,0.5383656450247586,0.5383656450247586,True
Air,2,9.019554189800267,0.14092610703207087,0.6792917520568295,True
Air,3,5.074228717455879,0.07928233306143374,0.7585740851182632,True
Air,4,3.3638692152961345,0.05255880535789641,0.8111328904761596,True
Air,5,2.1970655345689907,0.03432807056376253,0.8454609610399221,True
Air,6,1.862531283992054,0.029101137102238203,0.8745620981421602,True
Air,7,1.5444261976983964,0.024130901268502515,0.8986929994106627,True
Air,8,1.091261753668906,0.017050429263062626,0.9157434286737256,True
Air,9,0.7238411494005078,0.011309662667140322,0.9270530913408659,False
Air,10,0.5171768294532193,0.00808063410766485,0.9351337254485307,False
Air,11,0.387191907107737,0.006049683498184615,0.9411834089467153,False
Air,12,0.3451595860124639,0.005392949112334664,0.9465763580590499,False
Plus,1,46.60338937703389,0.7281535987204553,0.7281535987204553,True
Plus,2,12.698696750344979,0.19841049892350027,0.9265640976439555,True
Plus,3,1.9425335802182777,0.030351071799260915,0.9569151694432164,True
Plus,4,1.220981312084059,0.019077194775935325,0.9759923642191517,True
Plus,5,0.34669310783160723,0.005416898588143649,0.9814092628072953,False
Plus,6,0.2729920944457226,0.0042653587786223544,0.9856746215859177,False
Plus,7,0.15522492255071477,0.002425308276442803,0.9880999298623605,False
Plus,8,0.10691097039224325,0.0016704280283993934,0.98977035789076,False
Plus,9,0.09662379395933615,0.0015096962738977576,0.9912800541646577,False
Plus,10,0.08447107328255077,0.001319816365733684,0.9925998705303913,False
Plus,11,0.0622312115469547,0.0009723301512267185,0.993572200681618,False
Plus,12,0.05704248635130305,0.0008912590322697112,0.9944634597138877,False
